,City,jpin,title,category_name,status,Exact title,ID,
19,Chennai,JPIN-1304473036,"Britannia Good Day Cashew Cookies, 53g Pack","Biscuit, Confectionary & Snacks",pending,Britannia Good Day Cashew Cookies 53 g,20,Britannia Good Day Cashew Cookies 53 g (+Get 7 g Extra)
20,Chennai,JPIN-1304473025,"Britannia Marie Gold Biscuits, 39g Pack","Biscuit, Confectionary & Snacks",pending,Britannia Marie Gold Biscuits 43 g,21,Britannia Marie Gold Biscuits 43 g
21,Chennai,JPIN-1304473024,"Britannia Marie Gold Biscuits, 68g Pack","Biscuit, Confectionary & Snacks",pending,Britannia Marie Gold Biscuits 68 g,22,Britannia Marie Gold Biscuits 68 g
22,Chennai,JPIN-1304473049,"Britannia Milk Bikis Biscuits, 73g Pack","Biscuit, Confectionary & Snacks",pending,Britannia Milk Bikis Biscuits 73 g,23,Britannia Milk Bikis Biscuits 73 g
23,Chennai,JPIN-1304473044,"Britannia Nutri Choice Digestive Biscuits, Hi Fibre, 100g Pack","Biscuit, Confectionary & Snacks",pending,Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g,24,Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g
24,Chennai,JPIN-1304473070,"Britannia Tiger Glucose Biscuits, 50g Pack","Biscuit, Confectionary & Snacks",pending,Britannia Tiger Glucose Biscuits 60 g,25,Britannia Tiger Glucose Biscuits 60 g
25,Chennai,JPIN-1304473964,"Brooke Bond 3 Roses Natural Care, 250g Box",Tea and Coffee,pending,3 Roses Natural Care Dust Tea 250 g,26,3 Roses Natural Care Dust Tea 250 g
26,Chennai,JPIN-1304473938,"Brooke Bond 3 Roses Top Star, 250g Box",Tea and Coffee,pending,3 Roses Top Star Dust Tea 250 g,27,3 Roses Top Star Dust Tea 250 g
27,Chennai,JPIN-1304472112,"Brooke Bond 3 Roses, 100g Box",Tea and Coffee,pending,3 Roses  Dust Tea 100 g,28,3 Roses Top Star Dust Tea 100 g
28,Chennai,JPIN-1304472107,"Brooke Bond 3 Roses, 14g Sachet",Tea and Coffee,pending,3 Roses  Dust Tea 14 g,29,3 Roses  Dust Tea 14 g
